"","Year","Region","Export_Total"
"927",2020,"Africa",NA
"928",2020,"Pacific",NA
"929",2020,"Middle East",NA
"930",2020,"World",NA
"931",1990,"Asia",NA
"932",1990,"Africa",NA
"933",1990,"Pacific",NA
"934",1990,"Middle East",NA
"935",1990,"World",NA
"936",1991,"Asia",NA
"937",1991,"Africa",NA
"938",1991,"Pacific",NA
"939",1991,"Middle East",NA
"940",1991,"World",NA
"941",1992,"Asia",NA
"942",1992,"Africa",NA
"943",1992,"Pacific",NA
"944",1992,"Middle East",NA
"945",1992,"World",NA
"946",1993,"Asia",NA
"947",1993,"Africa",NA
"948",1993,"Pacific",NA
"949",1993,"Middle East",NA
"950",1993,"World",NA
"951",1994,"Asia",NA
"952",1994,"Africa",NA
"953",1994,"Pacific",NA
"954",1994,"Middle East",NA
"955",1994,"World",NA
"956",1995,"Asia",NA
"957",1995,"Africa",NA
"958",1995,"Pacific",NA
"959",1995,"Middle East",NA
"960",1995,"World",NA
"961",1996,"Asia",NA
"962",1996,"Africa",NA
"963",1996,"Pacific",NA
"964",1996,"Middle East",NA
"965",1996,"World",NA
